Years	Number of Publications
1953	1
1956	4
1958	5
1959	4
1961	3
1962	4
1963	1
1964	2
1965	8
1966	1
1967	11
1968	8
1969	11
1970	3
1971	7
1972	6
1973	24
1974	9
1975	17
1976	19
1977	18
1978	22
1979	29
1980	44
1981	38
1982	79
1983	73
1984	74
1985	75
1986	149
1987	153
1988	180
1989	268
1990	288
1991	280
1992	310
1993	301
1994	411
1995	341
1996	412
1997	446
1998	545
1999	431
2000	614
2001	549
2002	625
2003	618
2004	844
2005	840
2006	957
2007	991
2008	1058
2009	1139
2010	1280
2011	1227
2012	1419
2013	1403
2014	1584
2015	1500
2016	1825
2017	2062
2018	2436
2019	2764
2020	2983
2021	104
